state,transaction_revenue
AR,391821.8599976768
CO,1145141.4400195219
DC,214826.42000030266
DE,5.180000000000001
MN,1702432.2150480421
NC,0.0
NH,265320.86000074615
NJ,5367326.587333608
NY,5395739.500348623
OH,493932.9099932671
OR,357858.4409986536
TX,10467173.87964571
WI,0.0
